"id","title","link","pubDate","desc"
"HIN67","proposal for garbage cess referred to tax committee","http://www.thehindu.com/news/cities/bangalore/Proposal-for-garbage-cess-referred-to-tax-committee/article16960095.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:47:53 +0530","bengaluru the controversial proposal for garbage cess did not come up for discussion during the bbmp council meeting on thursday as the bbmp has referred the same to the tax and finance standing com"
"HIN68","children get art space at aspinwall house","http://www.thehindu.com/news/cities/Kochi/Children-get-art-space-at-Aspinwall-House/article16960093.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:47:06 +0530","young minds unleash their creativity by drawing and painting under the shade of a cluster of trees"
"HIN69","councillor seeks resolution of deadlock over road","http://www.thehindu.com/news/cities/bangalore/Councillor-seeks-resolution-of-deadlock-over-road/article16960088.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:44:08 +0530","defence authorities claim ownership of the stretch connecting modi garden to dinnur main road"
"HIN70","new overbridge at eroor to be opened soon","http://www.thehindu.com/news/cities/Kochi/New-overbridge-at-Eroor-to-be-opened-soon/article16960073.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:35:39 +0530","thripunithura will now become accessible through another route from kakkanad palarivattom and vennala"
"HIN71","road in thubarahalli gets narrower every year","http://www.thehindu.com/news/cities/bangalore/Road-in-Thubarahalli-gets-narrower-every-year/article16960069.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:32:50 +0530","now emergency services vehicles like ambulance and fire brigade tenders cannot enter their locality"
"HIN72","civil aviation minister lauds cial","http://www.thehindu.com/news/cities/Kochi/Civil-Aviation-Minister-lauds-CIAL/article16960028.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:12:51 +0530","union minister for civil aviation ashok gajapati raju said here on thursday that the cochin international airport was a model for other airports in infrastructure development he said that other airp"
"HIN73","dont de register medical practitioners for now hc tells kmc","http://www.thehindu.com/news/cities/bangalore/Don%E2%80%99t-de-register-medical-practitioners-for-now-HC-tells-KMC/article16960025.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:10:53 +0530","this is in connection with submitting applications for renewal of registration before the december 31 deadline"
"HIN74","thousands join ldfs human chain","http://www.thehindu.com/news/national/kerala/Thousands-join-LDF%E2%80%99s-%E2%80%98human-chain%E2%80%99/article16959827.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:05:37 +0530","tens of thousands of people joined hands on the highways from one end of the state to the other on thursday evening to make the roughly 700 km long human chain organised by the ruling left democrat"
"HIN75","mvds cashless campaign in limbo","http://www.thehindu.com/news/national/kerala/MVD%E2%80%99s-cashless-campaign-in-limbo/article16959819.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:05:01 +0530","plan to introduce point of sale terminals yet to get nod"
"HIN76","human chain a reflectionof peoples anger cm","http://www.thehindu.com/news/national/kerala/Human-chain-a-reflectionof-people%E2%80%99s-anger-CM/article16959802.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication","Thu, 29 Dec 2016 21:01:31 +0530","the coming together of people from all walks of life irrespective of political affiliations to protest against the central governments demonetisation policy are a reflection of the peoples anger"
